parametr;p_value;cliff_delta;n_hosp;n_dom;p_skorygowane;istotny
crp(0-0,5);3.397319025072939e-08;0.5291044776119403;80;67;4.756246635102115e-07;True
troponina I (0-7,8));9.731059526876327e-06;0.45517241379310347;70;58;4.569026148332206e-05;True
SpO2;9.790770317854727e-06;-0.41016832703538303;82;71;4.569026148332206e-05;True
HGB(12,4-15,2);1.589457341765497e-05;-0.40535898316729646;82;71;5.56310069617924e-05;True
hct(38-45);9.399656682788742e-05;-0.3668842322226039;82;71;0.00026319038711808477;True
kreatynina(0,5-1,2);0.010322288033212735;0.24098248024733768;82;71;0.024085338744163052;True
wiek;0.017799472759930633;0.22260391618000688;82;71;0.035598945519861265;True
WBC(4-11);0.038558722910528954;0.19443490209549982;82;71;0.06747776509342568;False
Na(137-145);0.06977960295995099;-0.1702164204740639;82;71;0.10854604904881264;False
AS;0.10455878665356892;0.15443037974683543;79;70;0.1463823013149965;False
MAP;0.23052436156544176;-0.11338028169014085;80;71;0.2933946419923804;False
plt(130-450);0.40419710433042544;0.07849536241841291;82;71;0.4715632883854964;False
K(3,5-5,1);0.44465374517554;0.07179663345929234;82;71;0.4788578794198123;False
mleczany;0.9202405702409283;-0.037037037037037035;18;6;0.9202405702409283;False
