kolumna;braki;procent
pleć ;0;0.0
wiek;0;0.0
inicjaly;1;0.65
icd10;0;0.0
data przyjecia;0;0.0
data wypisu;130;84.97
RR skurczowe;0;0.0
RR rozkurczowe;0;0.0
RR;153;100.0
MAP;2;1.31
SpO2;0;0.0
AS;4;2.61
mleczany;129;84.31
kreatynina(0,5-1,2);0;0.0
troponina I (0-7,8));25;16.34
HGB(12,4-15,2);0;0.0
WBC(4-11);0;0.0
plt(130-450);0;0.0
hct(38-45);0;0.0
Na(137-145);0;0.0
K(3,5-5,1);0;0.0
crp(0-0,5);6;3.92
dm;1;0.65
wątroba;1;0.65
naczyniowe;2;1.31
zza;0;0.0
npl;0;0.0
outcome;0;0.0
Unnamed: 28;152;99.35
